company_id,name,industry,size_band,city,tier,registered_date
1,Pandey Inc,FMCG,Startup (<50),Bahraich,Tier-3,2023-10-03
2,Patel Group,FMCG,Small (50-200),Bhagalpur,Tier-3,2023-12-03
3,Walia-Narain,EdTech,Mid (200-1000),Hazaribagh,Tier-3,2024-01-23
4,"Bhatia, Bhatnagar and Banik",Logistics,Small (50-200),Tiruppur,Tier-1,2023-07-15
5,Warrior-Grewal,Manufacturing,Startup (<50),Bally,Tier-2,2023-09-01
6,Anne-Patel,Financial Services,Startup (<50),Rajpur Sonarpur,Tier-3,2023-07-16
7,Rege Ltd,Consulting,Small (50-200),Davanagere,Tier-3,2023-09-04
8,Parmer Group,E-Commerce,Mid (200-1000),Raurkela Industrial Township,Tier-2,2023-06-18
9,"Savant, Divan and Dayal",Cybersecurity,Small (50-200),Morena,Tier-3,2023-12-18
10,Chandra LLC,Logistics,Startup (<50),Kozhikode,Tier-2,2023-11-14
11,"Yadav, Varty and Krishna",FMCG,Small (50-200),Hosur,Tier-3,2023-07-16
12,Chander Ltd,Information Technology,Large (1000-5000),Chennai,Tier-2,2023-06-02
13,Rama-Baral,Cybersecurity,Small (50-200),Maheshtala,Tier-1,2023-10-20
14,Anand Group,Manufacturing,Large (1000-5000),Tirunelveli,Tier-2,2023-09-06
15,Devan-Din,Consulting,Mid (200-1000),Karnal,Tier-3,2023-10-07
16,Merchant LLC,Healthcare,Mid (200-1000),Siliguri,Tier-2,2023-12-18
17,"Wagle, Dey and Mittal",Manufacturing,Small (50-200),Anand,Tier-2,2023-10-27
18,Dewan Ltd,Manufacturing,Startup (<50),Jaunpur,Tier-3,2023-09-16
19,Prasad-Vala,E-Commerce,Large (1000-5000),Madanapalle,Tier-2,2024-03-15
20,Dubey-Pal,Consulting,Startup (<50),Bhopal,Tier-3,2023-07-18
21,"Sama, Sarkar and Mishra",Manufacturing,Mid (200-1000),Madhyamgram,Tier-1,2023-08-15
22,Naidu Ltd,E-Commerce,Small (50-200),Mysore,Tier-2,2023-06-04
23,"Pillai, Narang and Karpe",Logistics,Enterprise (5000+),Sri Ganganagar,Tier-2,2023-06-29
24,Malhotra LLC,Telecommunications,Small (50-200),Dhule,Tier-2,2023-08-16
