college_id,name,city,state,tier,established_year,total_students,onboarded_date
1,Maharaj College of Engineering,Nagpur,Telangana,Tier-2,1966,48,2023-12-07
2,Bongaigaon Institute of Technology,Rajahmundry,Chhattisgarh,Tier-3,1979,50,2023-07-06
3,Balay College of Engineering,Gudivada,Maharashtra,Tier-3,2008,60,2023-12-07
4,Kaul College of Engineering,Tiruchirappalli,Gujarat,Tier-2,1970,47,2023-10-30
5,Muzaffarnagar Institute of Technology,Kishanganj,Gujarat,Tier-1,1966,45,2023-06-24
6,Kozhikode Institute of Technology,Giridih,Himachal Pradesh,Tier-1,1997,57,2023-11-02
7,Thrissur Institute of Technology,Mau,Himachal Pradesh,Tier-1,1977,48,2023-12-01
8,Rai College of Engineering,Kota,Assam,Tier-3,1999,50,2023-09-16
9,Mahbubnagar Institute of Technology,Secunderabad,West Bengal,Tier-2,2002,49,2023-08-11
10,Sharaf College of Engineering,Varanasi,Telangana,Tier-3,1965,57,2023-12-12
11,Memon College of Engineering,Burhanpur,Assam,Tier-1,2009,45,2023-09-17
12,Ranchi Institute of Technology,Gangtok,Gujarat,Tier-3,1974,54,2023-07-26
13,Kaul College of Engineering,Ramagundam,Assam,Tier-3,1986,50,2023-06-27
14,Bharatpur Institute of Technology,Nadiad,Himachal Pradesh,Tier-2,1971,47,2023-08-31
15,Kadakia College of Engineering,Uluberia,Kerala,Tier-1,2003,57,2023-08-07
16,Garg College of Engineering,Madurai,Punjab,Tier-1,2011,56,2023-09-26
17,Raghavan College of Engineering,Ujjain,Manipur,Tier-2,1989,59,2023-06-21
18,Nair College of Engineering,Proddatur,Haryana,Tier-2,2005,51,2023-11-06
19,Balay College of Engineering,Berhampur,Uttarakhand,Tier-2,1988,61,2023-10-26
20,Rajpur Sonarpur Institute of Technology,Rewa,Himachal Pradesh,Tier-2,1969,39,2023-06-12
21,Tata College of Engineering,Rajpur Sonarpur,Rajasthan,Tier-2,2014,60,2023-08-14
22,Lanka College of Engineering,Berhampore,Chhattisgarh,Tier-1,1979,43,2023-06-26
23,Bhimavaram Institute of Technology,Shahjahanpur,Telangana,Tier-2,1994,56,2023-11-10
